Network,Algorithm,N_communities,Modularity,NMI_year,Purity_year,NMI_dorm,Purity_dorm,NMI_major_index,Purity_major_index,NMI_gender,Purity_gender
Caltech,Louvain,8,0.4005,0.0842,0.3011,0.7072,0.7963,0.0807,0.1601,0.0101,0.6753
Caltech,Label Propagation,3,0.0002,0.0078,0.2673,0.0031,0.1667,0.0055,0.131,0.0035,0.6753
Caltech,Greedy Modularity,8,0.3149,0.0873,0.298,0.4129,0.4209,0.0616,0.1587,0.0061,0.6753
MIT,Louvain,11,0.3887,0.2718,0.4224,0.2992,0.2029,0.0426,0.247,0.0107,0.5944
MIT,Label Propagation,20,0.0883,0.2427,0.3145,0.0493,0.102,0.0282,0.2501,0.0146,0.6018
MIT,Greedy Modularity,16,0.342,0.203,0.3968,0.1893,0.1737,0.0652,0.2769,0.0093,0.6119
JohnsHopkins,Louvain,10,0.4526,0.3975,0.5884,0.2677,0.2342,0.1161,0.1744,0.0052,0.5647
JohnsHopkins,Label Propagation,14,0.1657,0.333,0.3885,0.1765,0.2108,0.0924,0.1479,0.004,0.5487
JohnsHopkins,Greedy Modularity,8,0.3802,0.1709,0.3986,0.1919,0.2163,0.1238,0.1687,0.0033,0.5521
